1,Student Accounts: First Day to Enroll in 4 Installment Payment Plan,,0:00,23:59,2018-12-01,,,https://calendar.buffalo.edu/event/student-accounts-first-day-to-enroll-in-4-installment-payment-plan-1/
2,"Swimming & Diving | University at Buffalo vs. Akron Invite @ Akron, OH",,0:00,23:59,2018-12-01,,,https://calendar.buffalo.edu/event/swimming--diving--university-at-buffalo-at-akron-invite-8/
3,CPR Training - Basic Life Support,,9:00,13:00,2018-12-01,,,https://calendar.buffalo.edu/event/cpr-training---basic-life-support-74/
4,Fall 2018 Saturday Morning One-to-one Tutoring,,9:00,12:30,2018-12-01,,,https://calendar.buffalo.edu/event/fall-2018-saturday-morning-one-to-one-tutoring-10/
5,Body Pump,,10:00,11:00,2018-12-01,,,https://calendar.buffalo.edu/event/body-pump-79/
6,Day of Service: Polar Plunge,,10:00,15:00,2018-12-01,,,https://calendar.buffalo.edu/event/day-of-service-3/
7,"Men's Basketball | University at Buffalo vs. San Francisco @ SSE Arena (Belfast, NI)",,10:30,,2018-12-01,,,https://calendar.buffalo.edu/event/mens-basketball--university-at-buffalo-vs-san-franciscostephen-f-austin--belfast-northern-ireland/
8,RPM,,11:15,12:00,2018-12-01,,,https://calendar.buffalo.edu/event/rpm-94/
9,Open Swim (North),,12:00,17:00,2018-12-01,,,https://calendar.buffalo.edu/event/open-swim-north-551/
10,UB Trippin' to Fashion Outlets of Niagara Falls,,12:00,,2018-12-01,,,https://calendar.buffalo.edu/event/ub-trippin-to-fashion-outlets-of-niagara-falls/
11,Women's Basketball | University at Buffalo at Central Conn. St.,,13:00,,2018-12-01,,,https://calendar.buffalo.edu/event/womens-basketball--university-at-buffalo-at-central-conn-st/
12,Open Swim (South),,14:00,17:00,2018-12-01,,,https://calendar.buffalo.edu/event/open-swim-south-448/
13,UB Concert Band,,17:00,19:00,2018-12-01,,,https://calendar.buffalo.edu/event/ub-concert-band-1/
14,Emerging Choreographers Showcase,,19:30,,2018-12-01,,,https://calendar.buffalo.edu/event/emerging-choreographers-showcase/
15,"Swimming & Diving | University at Buffalo vs. Akron Invite @ Akron, OH",,0:00,23:59,2018-12-02,,,https://calendar.buffalo.edu/event/swimming--diving--university-at-buffalo-at-akron-invite-9/
16,Body Combat,,11:30,12:30,2018-12-02,,,https://calendar.buffalo.edu/event/body-combat-12/
17,Open Swim (North),,12:00,17:00,2018-12-02,,,https://calendar.buffalo.edu/event/open-swim-north-552/
