"MAKE.MEDIA.MATTER - Opening Reception Thursday, November 1, 2018, 5-7PM","
                Starts: 11/1/2018 
                  Ends: 12/1/2018 
                All Day
                 
                  (ET)
                ",https://calendar.buffalo.edu/event/makemediamatter---opening-reception-thursday-november-1-2018-5-7pm/
Buffalo: Winter Workshops,"
                Starts: 11/28/2018 
                  Ends: 3/26/2019 
                All Day
                 
                  (ET)
                ",https://calendar.buffalo.edu/event/buffalo-winter-workshops/
UB Bulls in the Belfast Classic,"
                Starts: 11/28/2018 
                  Ends: 12/2/2018 
                All Day
                 
                  (ET)
                ",https://calendar.buffalo.edu/event/ub-bulls-in-the-belfast-classic/
Student Accounts: First Day to Enroll in 4 Installment Payment Plan,"12/1/2018, All Day
                  
                  (ET)
                ",https://calendar.buffalo.edu/event/student-accounts-first-day-to-enroll-in-4-installment-payment-plan-1/
"Swimming & Diving | University at Buffalo vs. Akron Invite @ Akron, OH","12/1/2018, All Day
                  
                  (ET)
                ",https://calendar.buffalo.edu/event/swimming--diving--university-at-buffalo-at-akron-invite-8/
CPR Training - Basic Life Support,"12/1/2018, 9:00 AM
                  -  1:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/cpr-training---basic-life-support-74/
Fall 2018 Saturday Morning One-to-one Tutoring,"12/1/2018, 9:00 AM
                  -  12:30 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/fall-2018-saturday-morning-one-to-one-tutoring-10/
Body Pump,"12/1/2018, 10:00 AM
                  -  11:00 AM  
                  (ET)
                ",https://calendar.buffalo.edu/event/body-pump-79/
Day of Service: Polar Plunge,"12/1/2018, 10:00 AM
                  -  3:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/day-of-service-3/
"Men's Basketball | University at Buffalo vs. San Francisco @ SSE Arena (Belfast, NI)","12/1/2018, 10:30 AM  
                  (ET)
                ",https://calendar.buffalo.edu/event/mens-basketball--university-at-buffalo-vs-san-franciscostephen-f-austin--belfast-northern-ireland/
RPM,"12/1/2018, 11:15 AM
                  -  12:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/rpm-94/
Open Swim (North),"12/1/2018, 12:00 PM
                  -  5:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/open-swim-north-551/
UB Trippin' to Fashion Outlets of Niagara Falls,"12/1/2018, 12:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/ub-trippin-to-fashion-outlets-of-niagara-falls/
Women's Basketball | University at Buffalo at Central Conn. St.,"12/1/2018, 1:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/womens-basketball--university-at-buffalo-at-central-conn-st/
Open Swim (South),"12/1/2018, 2:00 PM
                  -  5:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/open-swim-south-448/
UB Concert Band,"12/1/2018, 5:00 PM
                  -  7:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/ub-concert-band-1/
Emerging Choreographers Showcase,"12/1/2018, 7:30 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/emerging-choreographers-showcase/
"Swimming & Diving | University at Buffalo vs. Akron Invite @ Akron, OH","12/2/2018, All Day
                  
                  (ET)
                ",https://calendar.buffalo.edu/event/swimming--diving--university-at-buffalo-at-akron-invite-9/
Body Combat,"12/2/2018, 11:30 AM
                  -  12:30 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/body-combat-12/
Open Swim (North),"12/2/2018, 12:00 PM
                  -  5:00 PM  
                  (ET)
                ",https://calendar.buffalo.edu/event/open-swim-north-552/
